trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-135.0526589633343,"{0: 17, 1: 0, 2: 12, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-269.63502599417797,"{0: 10, 1: 3, 2: 5, 3: 3, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-102.40471762038156,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-132.8615393097086,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-20.915676420648275,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-23.429043541787486,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-26.81983314164375,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-46.668258149847375,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,5,-23.40993602871675,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-19.339264067471273,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-159.08992738902865,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-118.70170603693113,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-16.393244566175703,"{0: 21, 1: 2, 2: 0, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-79.94645192047328,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,20.899094530653468,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-43.47667039609743,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,3.1399436840185846,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,2,1.978263283802083,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-14.184383399961195,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-4.291094700852554,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,1,18.52954625711254,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-60.05164026800067,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-20.22718701651225,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,37.57982591049135,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-66.57179056202959,"{0: 26, 1: 0, 2: 0, 3: 3, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-9.310005168814358,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-11.351341159457283,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-11.064089800902003,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-1.0775585529944893,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,8.727745481853121,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
