trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.99004983374916811}",25,0,-84.5928176729584,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.98019867330675525}",30,0,-151.1752677048965,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.97044553354850815}",25,0,-147.49524976854642,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.96078943915232318}",35,0,-207.20788968357658,"{0: 19, 1: 1, 2: 12, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.95122942450071402}",20,0,-76.6398037023087,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.94176453358424872}",25,0,-143.25756488778242,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.93239381990594827}",20,0,-77.32435964877959,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.92311634638663576}",25,0,-149.2227089184888,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.91393118527122819}",30,0,-88.66351891556486,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.90483741803595952}",20,6,-82.08008381148869,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
11,False,"{'a': 0.01, 'e': 0.89583413529652822}",20,0,-55.20522406015149,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.88692043671715748}",25,0,-92.10504402564808,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",30,0,-195.64901422403693,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.01, 'e': 0.86935823539880586}",20,10,-19.37205008396226,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.86070797642505781}",25,0,-38.36605473814058,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.85214378896621135}",35,0,-199.84178310187417,"{0: 25, 1: 1, 2: 4, 3: 1, 4: 4}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-47.411269628562906,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,0,-69.34022666352288,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.82695913394336229}",25,0,-88.0196459093521,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.81873075307798182}",20,0,-73.37385194821101,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.81058424597018708}",30,0,-38.46211614221586,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.80251879796247849}",20,0,-13.682049581661445,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.79453360250333405}",25,0,-195.67549194040436,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
24,False,"{'a': 0.01, 'e': 0.78662786106655347}",25,0,-138.51875928288183,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.77880078307140488}",20,10,-42.64619799439079,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.01, 'e': 0.77105158580356625}",20,1,-11.705399573219397,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.76337949433685315}",30,0,-53.34465050753783,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.75578374145572547}",20,0,-53.40615465699082,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.74826356757856527}",20,0,-68.14061720413787,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.74081822068171788}",25,5,-106.41286785668365,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",1
31,False,"{'a': 0.01, 'e': 0.73344695622428924}",25,0,-117.84850014955217,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.72614903707369094}",25,1,-90.65828852468934,"{0: 18, 1: 0, 2: 2, 3: 3, 4: 1}",1
33,False,"{'a': 0.01, 'e': 0.71892373343192617}",30,0,-133.3834557189799,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.71177032276260965}",20,0,-82.94583768915851,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.70468808971871344}",25,0,-78.5549946787867,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.69767632607103103}",35,0,-72.34453342682603,"{0: 27, 1: 1, 2: 4, 3: 3, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.69073433063735468}",25,0,-119.08061662551074,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.68386140921235583}",20,0,-103.87631838968987,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.67705687449816465}",20,0,-40.27938015977447,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.67032004603563933}",25,8,-73.05642395565292,"{0: 12, 1: 2, 2: 0, 3: 2, 4: 1}",1
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",20,0,-81.32377847610734,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.65704681981505675}",20,0,-115.63525656035141,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.65050909472331653}",25,0,-70.12617915434274,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.64403642108314141}",20,0,-54.960328901106415,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.63762815162177333}",35,0,-94.58109261831996,"{0: 24, 1: 5, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.63128364550692595}",25,0,-0.35618802453598364,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.62500226828270078}",20,0,-193.79697766342258,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
48,False,"{'a': 0.01, 'e': 0.61878339180614084}",30,0,-59.67244294922186,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
