trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-127.56397463715537,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-144.96100314487146,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-124.99709103478166,"{0: 14, 1: 4, 2: 12, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,12,-46.05898793509966,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-234.03745454405615,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-194.21428700127436,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-62.04751480571935,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-164.74766213715702,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-58.06590189594322,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-86.166867811413,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-164.98901538712428,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-194.07155583921923,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-212.22242064259075,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-94.0190870588886,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-74.45941110438694,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-78.17273315708329,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-58.38770994832856,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-205.02402410143225,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-78.02898926493647,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-92.35529584970475,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,9,-143.04355772304467,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 2}",1
